X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
Kevin-Prince Boateng,78,CF,Non-Rare,650,4,4,H \ M,64,78,77,80,65,74,"185cm | 6'1""
                                                                              High & Average  (86kg)",73,438,2137
Robin Olsen,78,GK,non-rare,600,1,2,M \ M,78,77,76,78,35,78,"196cm | 6'5""
                                                                              High & Average  (86kg)",39,422,863
Vladimír Coufal,78,RB,non-rare,650,3,3,H \ H,81,58,72,74,73,81,"175cm | 5'9""
                                                                              Stocky  (76kg)",72,439,2068
Roque Mesa Quevedo,78,CM,non-rare,950,3,3,M \ H,67,65,75,78,72,76,"171cm | 5'7""
                                                                              Stocky  (74kg)",3,433,2026
Ruben Loftus-Cheek,78,CM,non-rare,850,4,3,H \ M,69,67,76,80,62,79,"191cm | 6'3""
                                                                              High & Average  (88kg)",21,433,1999
Iván Marcone,78,CDM,Rare,1.9K,3,3,M \ H,51,57,72,74,74,81,"182cm | 6'0""
                                                                              Average  (86kg)",19,409,1959
Federico Chiesa,78,CF,non-rare,1K,4,4,H \ H,85,74,71,82,44,62,"175cm | 5'9""
                                                                              Average  (70kg)",101,418,1950
Mattia De Sciglio,78,RB,non-rare,950,3,4,M \ M,74,46,69,75,77,70,"182cm | 6'0""
                                                                              Lean  (78kg)",12,411,1966
Victor Moses,78,RM,Rare,1K,4,4,M \ M,76,69,74,80,73,70,"177cm | 5'10""
                                                                              Average  (77kg)",65,442,2113
Luciano Vietto,78,LW,non-rare,600,3,4,M \ M,77,75,75,82,45,63,"173cm | 5'8""
                                                                              Lean  (65kg)",103,417,2029
Etienne Capoue,78,CDM,non-rare,950,3,3,M \ M,51,71,73,71,77,77,"190cm | 6'3""
                                                                              High & Average+  (87kg)",0,420,2030
Sead Kolašinac,78,LB,Rare,1.1K,3,2,H \ M,73,63,71,73,74,87,"183cm | 6'0""
                                                                              Stocky  (86kg)",215,441,2037
Bas Dost,78,ST,non-rare,700,2,3,M \ M,47,81,57,65,51,76,"196cm | 6'5""
                                                                              High & Average+  (89kg)",65,377,1791
Pablo Nascimento Castro,78,CB,non-rare,800,2,2,M \ M,52,52,53,62,79,79,"188cm | 6'2""
                                                                              High & Average  (89kg)",7,377,1814
Mateo Musacchio,78,CB,non-rare,900,3,3,M \ M,63,47,63,67,82,70,"180cm | 5'11""
                                                                              Average  (73kg)",15,392,1891
Alexandr Kokorin,78,ST,non-rare,650,4,3,H \ M,81,77,72,81,43,69,"184cm | 6'0""
                                                                              Average  (83kg)",53,423,2033
Kévin Malcuit,78,RB,Rare,1K,3,3,H \ M,81,63,73,77,74,71,"178cm | 5'10""
                                                                              Average  (77kg)",31,439,2032
Shkodran Mustafi,78,CB,non-rare,1.8K,2,2,M \ H,58,57,63,62,77,77,"184cm | 6'0""
                                                                              Average  (83kg)",46,394,1903
Danny da Costa,78,RWB,non-rare,700,3,3,H \ H,75,56,69,72,75,82,"187cm | 6'2""
                                                                              High & Average  (85kg)",33,429,2011
M'Baye Niang,78,ST,Rare,1K,3,4,H \ L,81,79,68,79,31,72,"188cm | 6'2""
                                                                              High & Average  (83kg)",-8,410,1921
Lisandro López,78,ST,Rare,1.2K,4,4,H \ H,69,80,73,78,50,69,"174cm | 5'9""
                                                                              Average  (74kg)",51,419,2055
Martin Škrtel,78,CB,non-rare,900,2,2,M \ H,47,38,48,52,78,82,"191cm | 6'3""
                                                                              High & Average  (81kg)",131,345,1626
Branislav Ivanović,78,CB,non-rare,900,2,3,H \ M,54,60,66,58,78,80,"185cm | 6'1""
                                                                              High & Stocky  (91kg)",404,396,1924
Fábio Coentrão,78,LB,non-rare,1K,4,2,H \ H,74,66,76,80,73,72,"179cm | 5'10""
                                                                              Lean  (66kg)",167,441,2118
Pablo Piatti,78,LM,non-rare,700,3,2,H \ M,83,72,75,79,47,54,"163cm | 5'4""
                                                                              Short & Lean-  (63kg)",31,410,1985
Divock Origi,77,ST,Rare,1.1K,4,4,H \ M,82,76,67,77,27,74,"188cm | 6'2""
                                                                              High & Average+  (75kg)",167,403,1869
Takumi Minamino,77,RW,Rare,1.3K,3,4,H \ M,87,73,69,82,36,64,"174cm | 5'9""
                                                                              Lean  (67kg)",154,411,1964
Andrea Conti,77,RB,Non-Rare,1.5K,3,2,H \ M,75,59,70,75,73,67,"184cm | 6'0""
                                                                              Lean  (76kg)",16,419,1971
Franck Yannick Kessié,77,CM,Rare,1K,3,4,H \ H,71,72,71,77,77,87,"183cm | 6'0""
                                                                              Average  (76kg)",337,455,2155
Sandro Tonali,77,CDM,Rare,0,3,4,M \ H,80,65,78,76,72,76,"181cm | 5'11""
                                                                              Average  (80kg)",221,447,2114
Layvin Kurzawa,77,LB,Non-Rare,1.3K,4,3,M \ L,74,65,73,76,74,71,"182cm | 6'0""
                                                                              Average  (74kg)",8,433,2069
Thilo Kehrer,77,CB,Rare,1.5K,3,5,M \ H,72,44,65,68,78,74,"186cm | 6'1""
                                                                              High & Average  (76kg)",63,401,1886
Sergio Rico,77,GK,Non-Rare,1K,1,3,M \ M,77,74,77,80,47,74,"195cm | 6'5""
                                                                              High & Average+  (90kg)",30,429,907
Danilo D'Ambrosio,77,RB,Non-Rare,700,3,4,M \ M,70,56,67,71,78,70,"180cm | 5'11""
                                                                              Average  (75kg)",28,412,2007
Ashley Young,77,RM,Non-Rare,2.4K,4,3,M \ M,69,67,74,77,74,68,"175cm | 5'9""
                                                                              Lean  (65kg)",-3,429,2082
Kulusevski,77,RW,Non-Rare,900,3,4,H \ M,81,69,75,78,56,75,"186cm | 6'1""
                                                                              High & Average+  (75kg)",150,434,1992
Mason Greenwood,77,RM,Rare,1.2K,3,5,H \ M,81,78,71,78,39,67,"181cm | 5'11""
                                                                              Average  (70kg)",380,414,1953
George Baldock,77,RWB,Non-Rare,650,3,3,M \ M,79,47,65,74,72,74,"175cm | 5'9""
                                                                              Average  (67kg)",16,411,1883
Marcus Edwards,77,RW,Non-Rare,1.7K,4,3,H \ L,84,65,68,84,34,48,"176cm | 5'9""
                                                                              Lean  (78kg)",31,383,1824
Hassane Kamara,77,LB,Rare,1.1K,3,3,H \ H,88,60,68,76,71,76,"168cm | 5'6""
                                                                              Short & Lean-  (67kg)",378,439,2018
Mohamed Ihattaren,77,CAM,Non-Rare,650,4,4,H \ M,75,68,76,82,41,64,"183cm | 6'0""
                                                                              Average  (75kg)",59,406,1928
Reece James,77,RB,Rare,1.2K,3,3,H \ M,80,57,72,75,73,76,"182cm | 6'0""
                                                                              Stocky  (87kg)",327,433,2010
Daniel James,77,RM,Rare,1.1K,3,4,H \ H,95,70,69,76,43,63,"170cm | 5'7""
                                                                              Short & Lean-  (76kg)",526,416,1930
Amine Harit,77,CAM,Non-Rare,700,5,3,H \ M,72,66,71,83,45,48,"180cm | 5'11""
                                                                              Lean  (67kg)",220,385,1842
Krépin Diatta,77,RM,Non-Rare,3.7K,3,4,H \ M,94,70,67,81,47,68,"175cm | 5'9""
                                                                              Lean  (69kg)",69,427,1982
Ridgeciano Haps,77,LB,Rare,1K,3,3,H \ M,89,60,66,77,71,72,"175cm | 5'9""
                                                                              Average  (66kg)",122,435,2004
Noussair Mazraoui,77,RB,Rare,1K,3,3,H \ L,81,59,72,80,72,68,"183cm | 6'0""
                                                                              Lean  (62kg)",24,432,1986
Oussama Idrissi,77,LW,Non-Rare,4K,4,2,H \ M,84,76,70,81,35,69,"175cm | 5'9""
                                                                              Average  (78kg)",30,415,1915
Marcos Senesi,77,CB,Non-Rare,1K,2,3,M \ H,65,35,63,68,79,74,"185cm | 6'1""
                                                                              High & Average  (80kg)",82,384,1752
Owen Wijndal,77,LB,Non-Rare,650,3,2,M \ M,84,50,72,77,72,71,"176cm | 5'9""
                                                                              Average  (65kg)",36,426,1985
Mehmet Zeki Çelik,77,RB,Non-Rare,650,3,3,H \ M,78,42,70,71,73,74,"180cm | 5'11""
                                                                              Average  (78kg)",39,408,1903
Wayne Rooney,77,CAM,Non-Rare,7.9K,3,3,M \ M,53,81,80,76,56,75,"176cm | 5'9""
                                                                              Stocky  (83kg)",1168,421,2117
Rune Almenning Jarstein,77,GK,Non-Rare,600,1,4,M \ M,80,73,71,77,42,80,"190cm | 6'3""
                                                                              High & Average  (86kg)",-6,423,872
Iván Cuéllar Sacristán,77,GK,Non-Rare,600,1,2,M \ M,74,76,78,79,53,73,"187cm | 6'2""
                                                                              High & Average+  (76kg)",9,433,957
Vitorino Hilton da Silva,77,CB,Non-Rare,700,3,4,M \ M,33,51,67,66,81,70,"180cm | 5'11""
                                                                              Average  (78kg)",78,368,1842
Robert Snodgrass,77,RM,Non-Rare,950,3,3,H \ M,62,75,79,77,47,72,"182cm | 6'0""
                                                                              Average  (82kg)",21,412,2007
Ryan Babel,77,LW,Non-Rare,650,3,3,M \ M,81,79,71,79,40,74,"185cm | 6'1""
                                                                              Average  (85kg)",-19,424,1994
Jonathan Orozco,77,GK,Non-Rare,600,1,3,M \ M,76,72,84,76,59,77,"184cm | 6'0""
                                                                              Average  (81kg)",22,444,1228
Gary Cahill,77,CB,Non-Rare,800,2,3,M \ M,37,58,51,58,79,76,"193cm | 6'4""
                                                                              High & Average  (88kg)",24,359,1731
Jack Cork,77,CDM,Non-Rare,650,3,4,M \ H,47,60,73,70,76,79,"183cm | 6'0""
                                                                              Average  (75kg)",21,405,1996
Jonathan dos Santos,77,CM,Non-Rare,600,3,4,H \ H,71,66,79,77,70,70,"172cm | 5'8""
                                                                              Average  (73kg)",60,433,2094
Claudio Bravo,77,GK,Non-Rare,1.6K,1,3,M \ M,77,76,84,77,56,75,"184cm | 6'0""
                                                                              Average  (80kg)",66,445,1146
Matheus Leite Nascimento,77,LW,Non-Rare,850,4,4,H \ M,87,75,64,79,36,65,"175cm | 5'9""
                                                                              Average  (68kg)",64,406,1843
Régis Gurtner,77,GK,Non-Rare,650,1,2,M \ M,77,75,75,78,42,77,"182cm | 6'0""
                                                                              Average  (82kg)",18,424,819
Miguel Luís Pinto Veloso,77,CM,Non-Rare,650,3,3,M \ M,48,70,82,75,66,69,"180cm | 5'11""
                                                                              Average  (79kg)",16,410,2075
Ruud Vormer,77,CM,Non-Rare,750,3,4,H \ H,59,74,79,70,75,79,"178cm | 5'10""
                                                                              Average  (79kg)",10,436,2157
Adel Taarabt,77,CM,Non-Rare,900,4,4,M \ M,68,69,78,84,60,70,"185cm | 6'1""
                                                                              High & Average  (75kg)",103,429,2051
Ralf Fährmann,77,GK,Non-Rare,650,1,1,M \ M,79,78,44,78,42,77,"197cm | 6'6""
                                                                              High & Average  (98kg)",89,398,847
Damien Da Silva,77,CB,Non-Rare,700,2,4,L \ H,53,37,57,56,79,75,"184cm | 6'0""
                                                                              Average  (83kg)",18,357,1719
Federico Fazio,77,CB,Non-Rare,1.1K,2,2,L \ M,33,40,53,53,81,75,"195cm | 6'5""
                                                                              High & Average  (85kg)",13,335,1575
Adam Lallana,77,CM,Rare,1.2K,4,5,H \ H,66,71,78,81,62,64,"178cm | 5'10""
                                                                              Lean  (73kg)",74,422,2068
Stevan Jovetić,77,ST,Non-Rare,650,3,4,H \ L,66,78,76,79,35,60,"183cm | 6'0""
                                                                              Average  (79kg)",33,394,1947
Roberto Rosales,77,RWB,Non-Rare,600,3,3,H \ M,69,64,70,74,76,67,"174cm | 5'9""
                                                                              Average  (70kg)",2,420,2012
Max-Alain Gradel,77,LW,Non-Rare,600,4,4,H \ H,77,75,71,79,42,62,"177cm | 5'10""
                                                                              Lean  (70kg)",17,406,1963
Fabian Delph,77,CDM,Non-Rare,650,3,3,M \ H,66,68,74,76,73,71,"174cm | 5'9""
                                                                              Lean  (78kg)",21,428,2078
Angelo Ogbonna,77,CB,Non-Rare,650,2,3,M \ M,53,39,58,61,79,74,"191cm | 6'3""
                                                                              High & Average  (86kg)",32,364,1731
Chris Basham,77,CB,Non-Rare,700,2,2,H \ M,64,43,61,63,79,79,"190cm | 6'3""
                                                                              High & Average+  (80kg)",16,389,1806
Romain Alessandrini,77,RM,Non-Rare,2.2K,4,4,H \ M,84,76,73,78,48,66,"173cm | 5'8""
                                                                              Average  (70kg)",222,425,2036
Luis Montes,77,CM,Non-Rare,700,3,3,H \ H,62,74,76,79,59,69,"166cm | 5'5""
                                                                              Short & Lean-  (68kg)",23,419,2054
Odion Ighalo,77,ST,Non-Rare,2.4K,4,3,M \ L,76,78,65,76,42,79,"183cm | 6'0""
                                                                              Stocky  (73kg)",94,416,1972
Joshua King,77,CF,Rare,2.1K,4,3,M \ M,87,77,68,78,38,76,"184cm | 6'0""
                                                                              Average  (82kg)",124,424,1988
Nikola Kalinić,77,ST,Non-Rare,7K,3,4,H \ L,63,76,64,73,42,69,"187cm | 6'2""
                                                                              High & Average+  (79kg)",3,387,1861
Oliver Norwood,77,CM,Non-Rare,650,2,3,M \ M,56,68,80,69,72,65,"175cm | 5'9""
                                                                              Lean  (69kg)",8,410,2064
Patrick van Aanholt,77,LB,Rare,1.1K,3,4,H \ L,86,68,71,76,71,71,"176cm | 5'9""
                                                                              Lean  (67kg)",210,443,2116
Elías Hernández,77,RM,Non-Rare,650,4,3,M \ L,73,75,76,79,46,61,"171cm | 5'7""
                                                                              Lean  (70kg)",20,410,1987
Matt Ritchie,77,RM,Non-Rare,650,4,4,H \ H,71,74,77,76,66,69,"172cm | 5'8""
                                                                              Average  (76kg)",15,433,2104
Ángel Montoro Sánchez,77,CDM,Non-Rare,700,3,3,M \ M,44,64,73,70,74,70,"181cm | 5'11""
                                                                              Average  (72kg)",18,395,1925
Cheikhou Kouyaté,77,CDM,Rare,1K,3,3,H \ H,67,65,62,69,78,86,"189cm | 6'2""
                                                                              High & Average+  (83kg)",60,427,1980
Ashley Barnes,77,ST,Non-Rare,950,3,4,H \ H,61,78,68,74,47,80,"186cm | 6'1""
                                                                              High & Average  (84kg)",87,408,1990
Rafael Tolói,77,CB,Non-Rare,700,2,3,M \ H,63,47,58,63,81,68,"185cm | 6'1""
                                                                              High & Average+  (75kg)",15,380,1852
Alan Douglas Borges de Carvalho,77,ST,Non-Rare,1.2K,4,3,H \ L,83,75,68,81,33,71,"184cm | 6'0""
                                                                              Lean  (72kg)",24,411,1976
Rubén Rochina Naixes,77,RM,Non-Rare,9.9K,4,2,M \ M,70,77,77,81,54,69,"182cm | 6'0""
                                                                              Average  (76kg)",3,428,2058
Jonjo Shelvey,77,CM,Non-Rare,700,3,3,L \ L,58,73,79,73,62,75,"184cm | 6'0""
                                                                              Lean  (80kg)",78,420,2055
John Fleck,77,CM,Non-Rare,650,3,2,M \ H,71,71,78,77,70,75,"169cm | 5'7""
                                                                              Short and Balanced   (72kg)",25,442,2145
Salomón Rondón,77,ST,Non-Rare,1K,3,4,M \ L,69,76,66,71,32,81,"186cm | 6'1""
                                                                              High & Average  (85kg)",41,395,1914
Sebastian Rudy,77,CM,Non-Rare,4.7K,3,3,M \ M,66,67,78,77,75,67,"180cm | 5'11""
                                                                              Lean  (74kg)",2,430,2106
Alex McCarthy,77,GK,Non-Rare,600,1,2,M \ M,77,75,64,81,57,75,"193cm | 6'4""
                                                                              High & Average+  (79kg)",30,429,945
Josef de Souza Dias,77,CDM,Rare,0,3,4,H \ M,68,62,69,71,77,84,"188cm | 6'2""
                                                                              High & Average  (77kg)",2,431,2034
Benjamin Hübner,77,CB,Non-Rare,1.1K,2,2,M \ M,53,31,54,59,81,74,"193cm | 6'4""
                                                                              High & Average  (86kg)",22,352,1675
Aridane Hernández Umpiérrez,77,CB,Non-Rare,1K,2,3,M \ H,60,36,53,54,76,84,"186cm | 6'1""
                                                                              High & Average+  (77kg)",65,363,1728
Julian Baumgartlinger,77,CDM,Non-Rare,750,2,3,M \ H,55,49,69,68,77,80,"184cm | 6'0""
                                                                              Average  (84kg)",30,398,1925
Aaron Cresswell,77,LB,Non-Rare,600,3,3,H \ M,70,60,73,75,75,67,"175cm | 5'9""
                                                                              Average  (66kg)",30,420,2045
Rafael Pereira da Silva,77,RB,Non-Rare,0,3,3,H \ M,76,60,74,78,74,76,"172cm | 5'8""
                                                                              Average  (78kg)",-4,438,2102
Kevin Strootman,77,CDM,Non-Rare,3.5K,2,3,M \ H,50,70,75,71,73,79,"186cm | 6'1""
                                                                              High & Average  (80kg)",16,418,2034
Mert Günok,77,GK,Non-Rare,600,1,2,M \ M,73,72,81,82,56,80,"196cm | 6'5""
                                                                              High & Average  (92kg)",6,444,975
Iago Falqué Silva,77,CF,Non-Rare,4.1K,4,3,H \ L,72,73,78,81,41,52,"174cm | 5'9""
                                                                              Short & Lean-  (69kg)",-5,397,1920
Oier Sanjurjo Maté,77,CDM,Non-Rare,700,2,2,M \ H,64,64,72,69,74,75,"178cm | 5'10""
                                                                              Average  (72kg)",18,418,1969
Marco Silvestri,77,GK,Non-Rare,650,1,3,M \ M,79,75,65,79,59,77,"191cm | 6'3""
                                                                              High & Average+  (80kg)",31,434,905
Pascal Groß,77,CM,Non-Rare,650,4,4,H \ H,52,72,81,75,59,71,"181cm | 5'11""
                                                                              Lean  (78kg)",23,410,2038
Juraj Kucka,77,CM,Non-Rare,650,3,4,H \ M,57,74,73,74,77,87,"186cm | 6'1""
                                                                              High & Average  (84kg)",15,442,2154
Luigi Sepe,77,GK,Non-Rare,600,1,2,M \ M,79,75,71,80,48,75,"185cm | 6'1""
                                                                              High & Average  (75kg)",16,428,884
Jóhann Berg Guðmundsson,77,RM,Non-Rare,650,4,4,H \ H,73,73,78,76,61,69,"179cm | 5'10""
                                                                              Average  (77kg)",12,430,2099
Javier Pastore,77,CAM,Non-Rare,650,4,4,H \ L,57,73,78,78,53,55,"187cm | 6'2""
                                                                              High & Average+  (78kg)",23,394,1950
Johnathan Aparecido Silva,77,ST,Rare,3.5K,4,5,H \ L,81,77,63,76,40,79,"184cm | 6'0""
                                                                              Lean  (75kg)",113,416,1949
Uílson de Souza Paula Júnior,77,RB,Non-Rare,650,3,4,H \ M,80,56,74,75,72,67,"173cm | 5'8""
                                                                              Lean  (70kg)",20,424,2056
Shane Duffy,77,CB,Non-Rare,650,2,3,M \ H,44,45,51,49,78,79,"193cm | 6'4""
                                                                              High & Average  (76kg)",37,346,1653
Kevin Vogt,77,CB,Non-Rare,1.6K,2,3,H \ M,70,57,72,68,77,77,"194cm | 6'4""
                                                                              High & Average  (85kg)",11,421,1954
Enrique García Martínez,77,ST,Non-Rare,650,3,4,M \ M,62,78,64,73,38,72,"186cm | 6'1""
                                                                              High & Average  (79kg)",29,387,1842
Leandro Cabrera,77,CB,Non-Rare,650,2,3,L \ M,53,31,60,58,78,80,"187cm | 6'2""
                                                                              High & Average  (80kg)",18,360,1736
Roberto Pereyra,77,LM,Non-Rare,8.5K,4,4,H \ M,75,73,76,80,61,65,"182cm | 6'0""
                                                                              Lean  (77kg)",13,430,2084
Roberto Soriano,77,CAM,Non-Rare,700,4,4,M \ M,68,74,77,78,67,68,"182cm | 6'0""
                                                                              Average  (76kg)",17,432,2077
Gary Medel,77,CDM,Non-Rare,650,3,4,M \ H,65,47,64,69,77,80,"171cm | 5'7""
                                                                              Stocky  (76kg)",-2,402,1953
Xavier Chavalerin,77,CDM,Non-Rare,650,3,3,H \ M,63,64,75,72,71,74,"179cm | 5'10""
                                                                              Lean  (69kg)",7,419,1998
Rafał Gikiewicz,77,GK,Non-Rare,650,1,2,M \ M,78,73,64,80,28,74,"190cm | 6'3""
                                                                              High & Average  (81kg)",27,397,805
Martín Montoya Torralbo,77,RB,Non-Rare,650,3,4,H \ M,76,61,71,73,74,70,"175cm | 5'9""
                                                                              Lean  (73kg)",16,425,2034
Ishak Belfodil,77,ST,Non-Rare,650,3,2,H \ M,69,77,69,77,36,75,"192cm | 6'4""
                                                                              High & Average+  (86kg)",36,403,1905
Andriy Yarmolenko,77,RM,Non-Rare,650,4,2,H \ M,65,80,77,80,42,68,"190cm | 6'3""
                                                                              High & Average+  (83kg)",22,412,1993
Sergi Enrich Ametller,77,ST,Non-Rare,600,4,4,H \ H,58,76,70,74,43,77,"181cm | 5'11""
                                                                              Stocky  (77kg)",11,398,1929
Andros Townsend,77,RM,Non-Rare,650,4,4,H \ H,78,75,74,79,38,67,"178cm | 5'10""
                                                                              Average  (73kg)",29,411,1971
Fransérgio Rodrigues Barbosa,77,CM,Non-Rare,700,3,3,H \ M,59,74,75,73,71,81,"187cm | 6'2""
                                                                              High & Average  (82kg)",17,433,2095
Giovanni Moreno,77,ST,Non-Rare,600,4,2,M \ H,72,77,74,76,61,79,"192cm | 6'4""
                                                                              High & Average+  (83kg)",20,439,2131
Simone Verdi,77,CF,Rare,1K,4,5,H \ L,82,73,78,82,48,50,"174cm | 5'9""
                                                                              Average  (65kg)",106,413,2030
Daniel Caligiuri,77,RM,Non-Rare,700,3,4,M \ M,68,73,76,75,71,75,"182cm | 6'0""
                                                                              Average  (80kg)",33,438,2133
Jordan Ayew,77,ST,Non-Rare,650,4,3,M \ M,77,76,71,79,45,74,"182cm | 6'0""
                                                                              Average  (81kg)",33,422,2012
Dedryck Boyata,77,CB,Rare,1.2K,2,3,M \ H,71,29,52,57,77,83,"188cm | 6'2""
                                                                              High & Average  (84kg)",59,369,1673
Florian Lejeune,77,CB,Non-Rare,0,2,3,M \ H,48,57,61,66,78,76,"189cm | 6'2""
                                                                              High & Average  (89kg)",1,386,1829
Benjamin Stambouli,77,CB,Non-Rare,950,2,4,L \ H,57,55,67,71,79,76,"180cm | 5'11""
                                                                              Average  (82kg)",25,405,1925
Germán Sánchez Barahona,77,CB,Non-Rare,900,2,2,M \ H,52,40,59,56,78,79,"187cm | 6'2""
                                                                              High & Average  (82kg)",0,364,1655
Cláudio Pires de Morais Ramos,77,GK,Non-Rare,600,1,3,M \ M,81,75,65,79,55,73,"183cm | 6'0""
                                                                              Average  (78kg)",29,428,964
Sergi Gómez Solà,77,CB,Non-Rare,1.3K,2,2,M \ M,62,40,64,62,78,74,"185cm | 6'1""
                                                                              High & Average  (80kg)",20,380,1791
Lars Unnerstall,77,GK,Non-Rare,650,1,1,M \ M,77,76,73,78,32,75,"198cm | 6'6""
                                                                              High & Stocky  (103kg)",38,411,788
Sebastian Rode,77,CDM,Non-Rare,700,3,3,H \ H,68,64,71,73,76,77,"179cm | 5'10""
                                                                              Average  (75kg)",20,429,2037
Timo Horn,77,GK,Non-Rare,650,1,2,M \ M,78,78,60,79,47,73,"192cm | 6'4""
                                                                              High & Average  (90kg)",16,415,876
Pedro Filipe Teodósio Mendes,77,CB,Non-Rare,750,2,3,M \ M,67,36,50,62,79,80,"186cm | 6'1""
                                                                              High & Average  (78kg)",14,374,1715
Vladimír Darida,77,CM,Non-Rare,650,3,4,H \ H,66,71,74,79,70,63,"172cm | 5'8""
                                                                              Lean  (67kg)",43,423,2100
Jeison Murillo,77,CB,Rare,0,2,3,M \ H,74,40,59,64,76,79,"182cm | 6'0""
                                                                              Average  (78kg)",11,392,1844
Gastón Ramírez,77,CAM,Non-Rare,600,4,3,M \ L,61,75,78,79,39,57,"183cm | 6'0""
                                                                              Lean  (78kg)",15,389,1940
Jonathan Schmid,77,RB,Rare,1K,3,3,H \ M,79,64,74,77,69,75,"179cm | 5'10""
                                                                              Average  (80kg)",50,438,2102
Federico Fernández,77,CB,Non-Rare,900,2,2,M \ H,48,30,53,51,78,74,"190cm | 6'3""
                                                                              High & Average  (83kg)",43,334,1616
Aleix Vidal Parreu,77,RM,Non-Rare,750,3,4,H \ M,82,67,72,78,72,70,"177cm | 5'10""
                                                                              Lean  (70kg)",28,441,2049
Sergi Darder Moll,77,CM,Non-Rare,650,4,3,M \ L,44,70,77,77,66,67,"180cm | 5'11""
                                                                              Lean  (71kg)",12,401,1995
Simone Zaza,77,ST,Non-Rare,650,4,3,H \ H,73,78,62,75,50,82,"186cm | 6'1""
                                                                              High & Average  (84kg)",9,420,2010
Jannik Vestergaard,77,CB,Non-Rare,650,2,4,M \ M,33,48,60,49,78,78,"199cm | 6'6""
                                                                              High & Average  (96kg)",25,346,1683
Leonardo Bittencourt,77,RM,Non-Rare,850,3,4,M \ M,79,68,74,83,56,60,"170cm | 5'7""
                                                                              Short & Lean  (62kg)",22,420,2028
Davy Klaassen,77,CM,Non-Rare,10K,3,3,H \ H,64,77,72,75,69,75,"179cm | 5'10""
                                                                              Average  (70kg)",22,432,2085
Jamaal Lascelles,77,CB,Non-Rare,700,2,3,M \ H,58,28,51,58,78,80,"188cm | 6'2""
                                                                              High & Stocky  (89kg)",19,353,1623
José Luís Mendes Andrade,77,ST,Non-Rare,9.8K,4,4,M \ M,80,75,59,75,33,80,"184cm | 6'0""
                                                                              Average  (80kg)",4,402,1902
Konstantinos Fortounis,77,CAM,Non-Rare,700,3,4,H \ L,75,74,77,80,40,67,"180cm | 5'11""
                                                                              Lean  (76kg)",32,413,2008
Hendrik Van Crombrugge,77,GK,Non-Rare,650,1,2,M \ M,79,74,76,79,37,77,"188cm | 6'2""
                                                                              High & Average  (88kg)",26,422,958
Bouna Sarr,77,RB,Non-Rare,4.6K,3,3,M \ M,81,70,74,76,71,75,"177cm | 5'10""
                                                                              Lean  (65kg)",50,447,2107
Charlie Taylor,77,LB,Non-Rare,650,3,2,H \ M,70,54,71,74,76,76,"180cm | 5'11""
                                                                              Average  (70kg)",12,421,1989
Paulo Gazzaniga,77,GK,Non-Rare,950,1,3,M \ M,80,76,84,80,64,77,"196cm | 6'5""
                                                                              High & Average  (90kg)",35,461,1060
Okay Yokuşlu,77,CDM,Rare,1.6K,3,3,M \ H,66,70,72,72,75,84,"190cm | 6'3""
                                                                              High & Average+  (79kg)",58,439,2083
Matija Nastasić,77,CB,Non-Rare,2.5K,2,2,L \ H,69,32,63,56,79,74,"188cm | 6'2""
                                                                              High & Average  (83kg)",15,373,1809
Daniele Baselli,77,CM,Non-Rare,950,4,3,H \ M,70,72,79,80,66,67,"182cm | 6'0""
                                                                              Lean  (70kg)",13,434,2099
Alberto Moreno Pérez,77,LB,Non-Rare,1K,3,2,H \ M,85,66,69,78,70,69,"171cm | 5'7""
                                                                              Average  (65kg)",19,437,2048
Stefan Ristovski,77,RB,Rare,4.2K,3,3,H \ M,87,61,68,73,73,78,"180cm | 5'11""
                                                                              Average  (72kg)",51,440,2031
Jetro Willems,77,LWB,Non-Rare,600,3,4,H \ L,75,65,76,76,72,76,"177cm | 5'10""
                                                                              Stocky  (82kg)",22,440,2086
Isaac Hayden,77,CDM,Non-Rare,650,2,4,M \ H,61,56,64,71,75,77,"185cm | 6'1""
                                                                              High & Average+  (79kg)",29,404,1890
Denis Cheryshev,77,LM,Non-Rare,700,3,4,H \ M,79,76,76,75,55,67,"179cm | 5'10""
                                                                              Lean  (74kg)",28,428,2048
Yunis Abdelhamid,77,CB,Non-Rare,650,2,3,H \ M,34,33,56,65,78,82,"190cm | 6'3""
                                                                              High & Average  (83kg)",21,348,1663
Moisés Gómez Bordonado,77,LM,Non-Rare,700,4,5,M \ M,68,72,77,78,54,60,"176cm | 5'9""
                                                                              Lean  (71kg)",13,409,1965
Roberto Torres Morales,77,RM,Non-Rare,700,3,4,M \ M,66,78,78,75,65,71,"178cm | 5'10""
                                                                              Average  (72kg)",15,433,2105
Franco Vázquez,77,CM,Non-Rare,950,4,3,M \ M,53,78,79,79,58,72,"187cm | 6'2""
                                                                              High & Average+  (82kg)",17,419,1999
Jesse Lingard,77,CAM,Non-Rare,2K,4,3,H \ H,77,74,74,78,58,70,"175cm | 5'9""
                                                                              Lean  (62kg)",1836,431,2091
Carlos Bacca,77,ST,Non-Rare,650,3,3,M \ L,68,75,64,75,33,66,"181cm | 5'11""
                                                                              Average  (77kg)",20,381,1853
Roger Martí Salvador,77,ST,Non-Rare,650,3,3,H \ M,77,80,61,75,41,71,"179cm | 5'10""
                                                                              Average  (74kg)",10,405,1932
